Id1,Name1,Id2,Name2,IdSong,NameSong,SongLengthMS
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,1Gh2ei6BJlppER2kjUx7L9,In Too Deep (feat. Kiana Ledé) – Acoustic,203009
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,5jYF7Xmvmn7sNjtuPXaXfQ,Running Outta Love (feat. Tori Kelly),265586
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,6NL31G53xThQXkFs7lDpL5,Rapsody,20IRK6kPPtRXCJQyCZwFdU,He Won't Hold You (feat. Rapsody),301293
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,16rCzZOMQX7P8Kmn5YKexI,Mahalia,68j5DYmCikBzcp60Sv6xWO,All I Need (with Mahalia & Ty Dolla $ign),243786
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,68j5DYmCikBzcp60Sv6xWO,All I Need (with Mahalia & Ty Dolla $ign),243786
16rCzZOMQX7P8Kmn5YKexI,Mahalia,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,68j5DYmCikBzcp60Sv6xWO,All I Need (with Mahalia & Ty Dolla $ign),243786
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,6hk7Yq1DU9QcCCrz9uc0Ti,Kimbra,61u5uSTeVRurydvbWdfqDc,In My Bones (feat. Kimbra & Tank and The Bangas),249290
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5cAtakaadWHJLxmGKrKcX7,Tank and The Bangas,61u5uSTeVRurydvbWdfqDc,In My Bones (feat. Kimbra & Tank and The Bangas),249290
6hk7Yq1DU9QcCCrz9uc0Ti,Kimbra,5cAtakaadWHJLxmGKrKcX7,Tank and The Bangas,61u5uSTeVRurydvbWdfqDc,In My Bones (feat. Kimbra & Tank and The Bangas),249290
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,04jVEb76Kw5OrmGtlXlHxI,Time Alone With You (feat. Daniel Caesar),255946
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,2RP4pPHTXlQpDnO9LvR7Yt,Lianne La Havas,68TJaMSstlIuOKpRr1riov,Feel (feat. Lianne La Havas),390560
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,1aRvBjKgLLpIiWd1pJj14N,It Don't Matter (feat. JoJo),261013
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,21TinSsF5ytwsfdyz5VSVS,dodie,2KQlkzT8Gg1lFDU0y5TYeK,Here Comes The Sun (feat. dodie),238360
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,0Sh2X6e3JerGnyEF0vDgbk,Becca Stevens,1Jmw5CvbagTkFadoZWQxTY,Bathtub,267000
1n02UdnML6G4wR162YsSRi,Nikki Yanofsky,0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,6hM35CfZMbhVm3XRwsotn7,One Day,268625
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,32nW8kGbs65y8CSlIvREuc,Voces8,3nur4bNfmRCoLFxk9ubHHK,Home Is,345270
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,0DfuzHdInMF1zmr9rEcV6M,Overture,174345
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,0DfuzHdInMF1zmr9rEcV6M,Overture,174345
7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,0DfuzHdInMF1zmr9rEcV6M,Overture,174345
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,0ZVPABdzJEa0nG85uAlBjB,With The Love In My Heart,408758
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,0ZVPABdzJEa0nG85uAlBjB,With The Love In My Heart,408758
7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,0ZVPABdzJEa0nG85uAlBjB,With The Love In My Heart,408758
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,0Dy94lW3txJhWQHqNXP1BT,Laura Mvula,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,0Dy94lW3txJhWQHqNXP1BT,Laura Mvula,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,0Dy94lW3txJhWQHqNXP1BT,Laura Mvula,7ckWkC7fLIxvcktBw1WfHN,"Ocean Wide, Canyon Deep (feat. Laura Mvula)",319000
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,3AbuBVQgSZy4kxV42byb2g,Djesse,276369
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,5gGbAKDXhDoBXIJe8SuBvX,Jules Buckley,3AbuBVQgSZy4kxV42byb2g,Djesse,276369
